Uuid,Void/Retire,Name,Description,Parent,Tags
1b1317ae-3688-416d-a8f0-1378b92b9e04,TRUE,"Site 40",,,
c2861e47-ecc1-4e81-992d-7b3c29fce0b0,TRUE,"Site 41",,,
92dbdbdf-17da-4cf0-873c-ad15dfae71cb,TRUE,"Site 42",,,
fd7fae67-7a2e-456c-81db-3cbdb10fd510,TRUE,"Site 43",,,
2ccae22b-26ab-4c40-a813-55462e27a0c8,TRUE,"Site 44",,,
2ef7caf2-affa-4003-8fe7-128db6ce31ee,TRUE,"Site 45",,,
148dc112-9e26-42f9-b514-e28cf2e44b1f,TRUE,"Site 46",,,
6d49188b-2bdf-4c6e-bdff-7eeed3e15a64,TRUE,"Site 47",,,
0fa578fc-301a-418c-9cf9-b35707fcb478,TRUE,"Site 48",,,
eeba7391-361a-41ad-a884-02d5504abaac,TRUE,"Site 49",,,
94346397-3848-4b92-9219-a981ed4265f8,TRUE,"Site 5",,,
2592d89f-8655-464e-bb76-5536d394c276,TRUE,"Site 50",,,
0566e68d-26ff-4e1d-a199-a9b8ecc3a7d4,TRUE,"Site 6",,,
9ade8976-a178-4bce-a229-50cfcf61b87d,TRUE,"Site 7",,,
50cfb6ca-a360-41f2-b3a0-7c5a19f4aa98,TRUE,"Site 8",,,
d5be46a5-3afa-40fa-86ab-3c1ff31543e3,TRUE,"Site 9",,,
184ac7d9-225a-41f8-bac7-c87b1327e1b0,TRUE,"Ward 1",,,
988f96fb-e0ae-4819-8e8d-ec37dc8e3292,TRUE,"Ward 10",,,
4047a80b-65d9-4fec-bdc9-0f205c06ba2c,TRUE,"Ward 11",,,
0108eb6a-6478-4f87-9425-d7164eb91acb,TRUE,"Ward 12",,,
c117a236-8e65-4327-bb60-42c46db4f6de,TRUE,"Ward 13",,,
af81eb43-3c83-419d-a394-9e1a24e4ce63,TRUE,"Ward 14",,,
532a3eef-5e37-4e1a-b60d-6b901e49ba88,TRUE,"Ward 15",,,
61c952e0-cc51-4ccb-90e3-fd1602f24e92,TRUE,"Ward 16",,,
a5fb6b17-7634-453a-acf6-898545b5324a,TRUE,"Ward 17",,,
99eb8204-c704-49f3-bbc7-1e1eeb37c365,TRUE,"Ward 18",,,
c76bde7e-4240-4d2f-822b-61dc6bc09d36,TRUE,"Ward 19",,,
5a7f3c53-6bb4-448b-a966-5e65b397b9f3,TRUE,"Ward 2",,,
3b1c8620-7f69-4657-a010-4f649889f60d,TRUE,"Ward 20",,,
059e5941-e813-43c9-93b7-b5793e27e4c2,TRUE,"Ward 21",,,
48b931de-31b2-41d7-9cd1-c5c63d4ce7cf,TRUE,"Ward 22",,,
2e2fabfa-ca65-414e-b1c2-a04679fe64df,TRUE,"Ward 23",,,
89ed3c56-2618-4d56-b995-09a09994eea8,TRUE,"Ward 24",,,
c2e201b4-72db-4233-b3e6-fc8fdb6ac71e,TRUE,"Ward 25",,,
53f4acf6-5c7a-4946-8df7-491a58eaaa91,TRUE,"Ward 26",,,
9f25f4cf-5566-47b4-a254-44b1943840d7,TRUE,"Ward 27",,,
9d33bf8e-a6ed-44c0-8677-9237481df256,TRUE,"Ward 28",,,
e886e814-987d-4f83-933d-4f31c700e0a4,TRUE,"Ward 29",,,
2272b8cd-b690-4878-a50c-40d22235b3f3,TRUE,"Ward 3",,,
b1d037c5-b487-4c3d-b7c1-0b0a7b50bfd1,TRUE,"Ward 30",,,
99c120e1-6e4b-4df1-ad2c-f81a50dfda7d,TRUE,"Ward 31",,,
7c4c7c7f-523e-4cd4-b2d8-7bd8036788c7,TRUE,"Ward 32",,,
f277520e-91af-4ea1-98a2-f011e6f85a37,TRUE,"Ward 33",,,
84b2819f-cdb5-47f9-88f4-825131bb6afa,TRUE,"Ward 34",,,
4738f9f4-ca34-4f9f-9e89-d7a2ba2b51a3,TRUE,"Ward 35",,,
13b6681c-ae49-4f76-a5c6-24013d1bd7ec,TRUE,"Ward 36",,,
3b6c2971-7a90-4076-baff-28f327e2ff9e,TRUE,"Ward 37",,,
49d7321a-0ee6-419e-8c74-96554a1902e1,TRUE,"Ward 38",,,
d5b5cf4e-e5fc-44c8-b19b-99bae46f7914,TRUE,"Ward 39",,,
820eae5e-e3e9-40a3-9e86-41d874572cf7,TRUE,"Ward 4",,,
de7aa639-6cdb-4184-9171-235316d8aa6d,TRUE,"Ward 40",,,
d212de33-7757-4899-b347-2cc693635b55,TRUE,"Ward 41",,,
6534f987-9d1a-442a-a336-da6d62b25301,TRUE,"Ward 42",,,
f8e92d51-9072-4cf0-9af2-7eb30b077c11,TRUE,"Ward 43",,,
b120e051-c927-4ff6-9307-f90c8ded63ca,TRUE,"Ward 44",,,
d1572bd9-ad63-4acc-9c2d-5e1dd0aeea99,TRUE,"Ward 45",,,
0f9194e3-f7ff-438b-9319-387925cd6310,TRUE,"Ward 46",,,
d14dd072-2f21-4340-b13d-845da00f8b28,TRUE,"Ward 47",,,
3ebe38d4-ec5c-49c3-b498-0ca98c15f410,TRUE,"Ward 48",,,
689d68a5-5857-48af-9f26-dc374fdf2997,TRUE,"Ward 49",,,
f105e38c-6ea4-418a-a0ae-9aa39b7f991c,TRUE,"Ward 5",,,
736b08f9-94d6-4b50-ad58-6bc69b9cbfb8,TRUE,"Ward 50",,,
4bc65b7a-bcd6-4829-860c-310aaf2c74db,TRUE,"Ward 51",,,
14e1afa1-fa96-41b0-bfaa-a7aff2659ee6,TRUE,"Ward 52",,,
8d243ead-936f-4bc8-b8a6-95baa2ed5217,TRUE,"Ward 53",,,
9212bcda-32dc-4fb8-a517-8ade92908816,TRUE,"Ward 54",,,
b8457ebe-48cd-4e6b-8139-23b269017d45,TRUE,"Ward 55",,,
423ca603-a696-4a25-a00f-2e998df01a9f,TRUE,"Ward 56",,,
9b35114a-a1cc-400c-ba1e-ee61538feeb7,TRUE,"Ward 57",,,
aa661b2b-bf9f-4335-965c-9dcb5b6adf94,TRUE,"Ward 58",,,
8874c0eb-be2b-4c9c-926c-bdd1e4394b99,TRUE,"Ward 59",,,
3848c2f7-1ffa-4ee8-a3eb-cc4a3d939be1,TRUE,"Ward 6",,,
2faca5a9-bfce-4cdc-8e09-690411230bcc,TRUE,"Ward 60",,,
43a62c8c-d0e3-46f6-8ff7-7c7c153d73d7,TRUE,"Ward 7",,,
3b4dff4d-ec74-4742-ba09-50b9b89eb3af,TRUE,"Ward 8",,,
a47e5316-4f78-4007-b92a-627de0b0fe2c,TRUE,"Ward 9",,,
