category,term,ciel_id,note
Musculoskeletal,Low back pain,,
Musculoskeletal,Neck pain,,
Musculoskeletal,Myalgia,,
Musculoskeletal,Sciatica,,
Musculoskeletal,Sprain,,
Musculoskeletal,Fracture,,referral dx
Skin & soft tissue,Cellulitis,,
Skin & soft tissue,Skin abscess,,
Skin & soft tissue,Impetigo,,
Skin & soft tissue,Dermatophytosis,,tinea/ringworm
Skin & soft tissue,Scabies,,
Skin & soft tissue,Atopic dermatitis,121348,eczema
Skin & soft tissue,Contact dermatitis,,
Skin & soft tissue,Urticaria,,
Skin & soft tissue,Acne vulgaris,,
Skin & soft tissue,Herpes zoster,,
Skin & soft tissue,Chronic ulcer of skin,120551,tropical ulcer
Eye,Acute conjunctivitis,,"GHS ""acute eye infection"""
Eye,Allergic conjunctivitis,,
Eye,Cataract,,referral dx
Eye,Refractive error,,
Eye,Foreign body in eye,,
Eye,Glaucoma,,referral dx
Eye,Hordeolum,,stye
Neurological,Headache,,
Neurological,Migraine,,
Neurological,Epilepsy,,
Neurological,Febrile convulsion,,paediatric
Neurological,Peripheral neuropathy,,diabetic follow-up
Neurological,Vertigo,,
Mental health,Depression,,
Mental health,Anxiety disorder,,
Mental health,Acute psychosis,154937,CIEL name: Acute and transient psychotic disorder; referral dx
Mental health,Insomnia,,
Mental health,Alcohol use disorder,166221,
Injuries,Road traffic accident,133924,CIEL name: Motor vehicle accident (victim); CIEL 86 carries a wrong ICD map (N25.8) — reported upstream
Injuries,Head injury,,referral dx
Injuries,Laceration,,open wound
Injuries,Contusion,,soft tissue injury
Injuries,Burn,,
Injuries,Dog bite,,rabies exposure pathway
Injuries,Snake bite,,rural clinics
Injuries,Insect bite,114795,CIEL name: Insect bites and stings
Injuries,Foreign body in ear,,common paediatric ENT
General,Dehydration,,
General,Allergic reaction,,
General,Epistaxis,,
